label,feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23
2,-30394,-20548,-10954,-22637,-21870,-20463,-16743,-15444,-7331,-553,-21694,-12372,-7832,-6327,0,0,0,0,0,0,0,0,0,0
2,-18351,-18956,-8401,-29436,-18431,-15785,-16544,-1968,-6136,-11800,-27467,-7215,-7337,-7207,0,0,0,0,0,0,0,0,0,0
2,-21130,-12182,-6494,-20328,-20299,-18390,-16282,-18048,9089,-5764,-19575,-11475,-13171,-7888,0,0,0,0,0,0,0,0,0,0
2,-4420,-15294,-11392,-30662,-22634,-22550,-19538,5831,4238,1297,-21024,-14157,-28072,-13987,0,0,0,0,0,0,0,0,0,0
2,-12374,-5701,-19383,-18591,-16524,-13407,-25619,2012,-5448,-8256,-3014,-7191,-7964,-18502,0,0,0,0,0,0,0,0,0,0
2,-14463,-28624,-15722,-19552,-18133,-12638,-21468,-7963,-25811,-2642,-14411,-7955,-942,-16536,0,0,0,0,0,0,0,0,0,0
2,-12467,-29655,-18607,-23683,-15707,-18835,-16424,-8160,-23724,-17572,-14345,-6066,-12910,-6354,0,0,0,0,0,0,0,0,0,0
2,-9073,-8270,-24024,-16857,-13830,-19018,-16844,-3176,-16550,-16694,-4194,10461,-7860,-8567,0,0,0,0,0,0,0,0,0,0
2,-21583,-19090,-12570,-18521,-12912,-18031,-14359,-4003,-10816,-12712,-6494,410,-8719,-4505,0,0,0,0,0,0,0,0,0,0
2,-21582,-22819,-22091,-19831,-17695,-14920,-18298,-4722,-18356,-7880,-8621,-7715,-5860,-7468,0,0,0,0,0,0,0,0,0,0
2,-10057,-15553,-9706,-17654,-20673,-16459,-20110,7073,19147,6246,-6469,-12537,-2300,-12401,0,0,0,0,0,0,0,0,0,0
2,-16363,-23691,-17384,-7995,-20103,-22225,-19989,-5848,-8783,-11296,-5253,-11846,-12773,-8893,0,0,0,0,0,0,0,0,0,0
2,-19687,-14911,-2365,-11508,-15777,-21993,-14038,-12582,5567,-6223,-6913,-6748,-10478,-7208,0,0,0,0,0,0,0,0,0,0
2,-19388,-14521,-21556,-8991,-12484,-14463,-17180,-4048,-9220,-12734,6024,-3876,-5130,-7739,0,0,0,0,0,0,0,0,0,0
2,-17789,-21510,-22344,-17633,-15082,-20112,-29879,8205,-13779,-21630,-11942,-7087,-12886,-20322,0,0,0,0,0,0,0,0,0,0
2,-8031,-9948,-37770,-25874,-16382,-21157,-20127,13419,-13839,-27604,-13093,-8643,-14852,-11217,0,0,0,0,0,0,0,0,0,0
3,-21592,-16362,-7409,-27888,-24521,-22695,-18457,-1045,-4952,8296,-25709,-17887,-17791,-6043,0,0,0,0,0,0,0,0,0,0
3,3868,-21601,-24004,-21096,-23816,-22410,-15992,-14333,-23209,-18898,-13505,-12479,-14266,-6152,0,0,0,0,0,0,0,0,0,0
3,-13162,-16620,-26111,-20928,-20042,-16141,-17348,-8098,4020,-14508,-11141,-11521,-1698,-10054,0,0,0,0,0,0,0,0,0,0
3,-13725,-10182,-11027,-20382,-15108,-20576,-18116,-24632,511,2231,-15063,-4636,-12798,-6790,0,0,0,0,0,0,0,0,0,0
3,-30379,-25892,-25453,-25330,-22314,-16790,-19885,-27946,-11660,-8829,-12180,-16163,-17828,-8194,0,0,0,0,0,0,0,0,0,0
3,-28826,-18518,-14818,-22603,-17011,-16333,-25571,-23526,-10017,-8774,-13796,-8618,-4360,-14360,0,0,0,0,0,0,0,0,0,0
3,-23819,-21490,-24794,-18379,-21673,-26111,-21202,-14867,-10517,-20948,-10194,-11604,-20790,-10551,0,0,0,0,0,0,0,0,0,0
3,-8546,-22204,-34469,-30158,-17731,-19685,-17354,8128,-6672,-25624,-31403,-6703,-10342,-8248,0,0,0,0,0,0,0,0,0,0
3,-22406,-23640,-30128,-12100,-22049,-18178,-15325,-3938,-10909,7260,-3064,-15204,-6228,-5562,0,0,0,0,0,0,0,0,0,0
3,-13844,-21161,-24833,-18357,-19811,-22971,-19494,300,-3841,-16311,-8184,-10385,-14640,-7890,0,0,0,0,0,0,0,0,0,0
3,-23954,-19893,121,-20549,-22062,-18182,-28736,-9681,-11890,33988,-17033,-11426,-8976,-17141,0,0,0,0,0,0,0,0,0,0
3,-13083,-29876,-26670,-20556,-14777,-28067,-20945,6603,-28157,4252,2239,-972,-18274,-18123,0,0,0,0,0,0,0,0,0,0
3,-28561,-8516,-13290,-8642,-19779,-14831,-14376,-19677,-8317,-11334,2552,-11527,-4771,-2445,0,0,0,0,0,0,0,0,0,0
3,-23917,-28475,6474,-17177,-21923,-7849,-21217,-8881,-25647,4580,-7697,-15996,7150,-10591,0,0,0,0,0,0,0,0,0,0
3,-18854,-22195,-14697,-15737,-18112,-27574,-10966,-7907,-13327,-10464,-3824,-6026,-20635,-2551,0,0,0,0,0,0,0,0,0,0
3,-21183,-3099,-12934,-19397,-15327,-13692,-16531,-6864,-387,9499,-9686,-3419,-8252,-8858,0,0,0,0,0,0,0,0,0,0
2,-14158,-13451,-17212,-19217,-17058,-11688,-12517,14638,-7322,-14405,-20071,-7901,562,-9611,0,0,0,0,0,0,0,0,0,0
2,-8522,1706,-21086,-19158,-14831,-18097,-27078,-5164,-316,-19452,-12848,-9661,-4651,-13220,0,0,0,0,0,0,0,0,0,0
2,-23114,-15716,8267,-19878,-20112,-16012,-21140,-14294,-19708,17378,-11940,-12203,-6395,-10557,0,0,0,0,0,0,0,0,0,0
2,-43327,-20348,-20454,-27025,-24997,-14499,-19052,-33117,-7114,-6726,-21334,-17994,-3163,-10485,0,0,0,0,0,0,0,0,0,0
2,342,-7097,-33149,-10970,-19310,-20262,-20072,6971,-8987,-27285,-997,-9499,-10432,-9100,0,0,0,0,0,0,0,0,0,0
2,-4094,-15813,-17079,-2256,-17715,-18366,-12871,12089,-17662,-14562,1228,-5813,-3939,2100,0,0,0,0,0,0,0,0,0,0
2,-13380,-15112,-6821,-22519,-31290,-15919,-16789,11508,738,-11468,-16487,-23397,-10422,-6313,0,0,0,0,0,0,0,0,0,0
2,-17596,-20697,-11268,-16525,-21931,-18734,-19353,-8041,-11183,-12662,-17749,-8342,-9062,-15097,0,0,0,0,0,0,0,0,0,0
