label,feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23
2,-40658,-14882,-9131,-19720,-17219,-13325,-17062,-34684,-7434,3170,-10135,-6142,-9233,-7416,0,0,0,0,0,0,0,0,0,0
2,-13030,-6788,-11971,-14674,-16990,-19889,-20173,6352,5680,3260,-5147,-12017,-17868,-13068,0,0,0,0,0,0,0,0,0,0
2,-19158,-18142,-5966,-20739,-12203,-17096,-17844,-22009,-13012,28921,-7591,3220,-7198,-9818,0,0,0,0,0,0,0,0,0,0
2,-32031,-14131,-19521,-20981,-16696,-20838,-18499,-17437,-1316,-15454,-14837,-13734,-13223,-10173,0,0,0,0,0,0,0,0,0,0
2,-11375,-10968,-26280,-15668,-12932,-17532,-15420,655,2372,-18831,-10503,-4335,-8494,-6492,0,0,0,0,0,0,0,0,0,0
2,-12297,-18848,-26685,-29872,-21917,-12902,-19518,3719,-9111,-19418,-28091,-14855,2259,-12469,0,0,0,0,0,0,0,0,0,0
2,-16191,-18294,-18811,-22346,-18099,-19147,-13137,-22222,-7594,-16467,-15114,-11005,-8891,0,0,0,0,0,0,0,0,0,0,0
2,-27779,-28332,-22410,-18859,-17614,-21605,-21584,-9499,-20865,-27007,-12574,-5854,-12717,-11132,0,0,0,0,0,0,0,0,0,0
2,-3824,-11460,-16289,-23946,-24012,-18260,-20455,8657,207,-8756,-9971,-17587,-8562,-12478,0,0,0,0,0,0,0,0,0,0
2,-16664,-20215,-12889,-12921,-15945,-18462,-22568,-4756,-15425,6044,6642,-10362,-9851,-13888,0,0,0,0,0,0,0,0,0,0
2,-18138,-19243,-19678,-25335,-16744,-19871,-16698,3489,-11573,-5312,-11665,-6909,-12122,-10166,0,0,0,0,0,0,0,0,0,0
2,-20350,-30043,-31026,-17124,-19406,-19260,-20613,-15821,-27255,-30810,-3186,-8879,-14693,-8627,0,0,0,0,0,0,0,0,0,0
2,-16005,2197,-10134,-12793,-11663,-15592,-15371,-1079,-9021,-1031,-7867,-1102,-8835,-7789,0,0,0,0,0,0,0,0,0,0
2,-23911,-15094,-9186,-24718,-6765,-13365,-14646,-16897,-17339,-16680,-16756,6323,-1920,-2672,0,0,0,0,0,0,0,0,0,0
2,-14919,-13465,-13864,-13703,-13493,-9502,-18602,-9301,-6634,-21522,-18393,2649,-2043,-8682,0,0,0,0,0,0,0,0,0,0
2,-16984,-6216,6843,-17183,-16495,-20733,-21240,-24200,-15958,-751,-8138,-6383,-13457,-13298,0,0,0,0,0,0,0,0,0,0
3,-10314,-1774,-27067,-17072,-18265,-16310,-24165,2812,13403,-28393,-8762,-5222,-6311,-17135,0,0,0,0,0,0,0,0,0,0
3,-7707,-16523,-15780,-17755,-22136,-23708,-20848,-19902,-29867,5003,-8940,-16339,-14955,-12398,0,0,0,0,0,0,0,0,0,0
3,-12427,-4253,-26883,-24710,-24159,-16670,-18158,-10148,-2702,-23326,-17393,-15298,-6678,-11449,0,0,0,0,0,0,0,0,0,0
3,-12848,-9588,-91,-9003,-14225,-17744,-14877,922,-920,-365,4773,-7341,-9280,-4024,0,0,0,0,0,0,0,0,0,0
3,-22916,-9848,-12348,-26432,-17560,-21106,-20311,-14516,20588,-3060,-11810,-10503,-11780,-8085,0,0,0,0,0,0,0,0,0,0
3,-1391,-11163,-7669,-21681,-17942,-12118,-18452,-4380,-4530,-15171,-12919,-6829,871,-8916,0,0,0,0,0,0,0,0,0,0
3,-12005,-12286,-13095,-16339,-17683,-21109,-17369,14072,2069,-2307,-3492,-11818,-13937,-12225,0,0,0,0,0,0,0,0,0,0
3,-19728,-7665,-16835,-16575,-19762,-25918,-23045,-6432,-3861,-8153,-8897,-15676,-18354,-13835,0,0,0,0,0,0,0,0,0,0
3,-16295,-28159,-15288,-22633,-18565,-12857,-14848,-12871,-18416,-1305,-9777,-5077,-2763,-3275,0,0,0,0,0,0,0,0,0,0
3,-22680,-8200,-7074,-17533,-16801,-13255,-16839,-7626,2746,4454,-4737,-4738,-3140,-4551,0,0,0,0,0,0,0,0,0,0
3,-19493,-23541,-27310,-20117,-24812,-21587,-16327,-11697,-15043,-28815,-14237,-15130,-13416,-6822,0,0,0,0,0,0,0,0,0,0
