label,feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23
2,6901,-9426,-11889,-10805,-16206,-16864,-17522,-7449,-9901,-4464,-176,-7986,-12350,-10864,0,0,0,0,0,0,0,0,0,0
2,-14787,-5056,-1560,2019,-15866,-16650,-6670,-10090,-16187,1458,6842,-6232,-4712,-516,0,0,0,0,0,0,0,0,0,0
2,388,-20073,-4569,-11820,-23467,-25270,-15458,2948,-13946,13846,-1187,-11575,-18747,-7460,0,0,0,0,0,0,0,0,0,0
2,-1907,12177,3341,-5844,-15464,-8257,-28937,13690,13944,12945,3249,-5492,-2599,-17617,0,0,0,0,0,0,0,0,0,0
2,-1416,-3384,10655,-23645,-21962,-17279,-15885,24350,3126,1819,-11485,-12501,-10548,-5684,0,0,0,0,0,0,0,0,0,0
2,-22987,-18936,-24859,-17002,-20767,-24900,-15844,-9537,-4293,-11142,-7771,-12670,-18921,-6696,0,0,0,0,0,0,0,0,0,0
2,-32749,-23145,-18549,-16021,-24510,-13196,-21041,-23338,-14279,-6549,-3211,-14165,-4579,-10031,0,0,0,0,0,0,0,0,0,0
2,-29598,-15566,-7031,-10621,-16271,-15386,-20085,-30232,12266,28337,-4524,-5236,-5111,-13326,0,0,0,0,0,0,0,0,0,0
2,-14529,-16057,4545,-21203,-15936,-21585,-17440,-8880,-3559,12272,-7987,-7867,-15596,-7773,0,0,0,0,0,0,0,0,0,0
2,-23543,-47534,-20105,-17728,-21676,-15993,-19339,-16199,-48431,-17777,-471,-12987,-6631,-11493,0,0,0,0,0,0,0,0,0,0
2,-23671,-23998,-13633,-25405,-19483,-16282,-16000,-12224,-10945,15882,-16278,-12891,-8549,-4900,0,0,0,0,0,0,0,0,0,0
2,-15505,-12987,-12602,-7852,-18392,-18168,-19680,-13162,-3192,-5926,6035,-9721,-11087,-11823,0,0,0,0,0,0,0,0,0,0
2,-23271,-25310,-17931,-23200,-9157,-21205,-23790,-12431,-26676,-22130,-15353,4663,-13515,-13296,0,0,0,0,0,0,0,0,0,0
2,-17216,-22309,-4777,-10196,-13234,-12853,-20447,-11091,-7181,-8972,-4027,-7024,2767,-11661,0,0,0,0,0,0,0,0,0,0
2,-27277,-25844,2519,-21726,-26555,-16978,-22240,-21377,-16915,-2419,-9455,-13388,-7969,-12509,0,0,0,0,0,0,0,0,0,0
2,-18236,-20876,-17348,-18932,-24633,-17177,-17690,-641,-20216,-7147,-9158,-11514,-5003,-8909,0,0,0,0,0,0,0,0,0,0
3,-31222,-9037,-21059,-21057,-15302,-16742,-18983,-26840,-7138,-13591,-5197,-3210,-6363,-10191,0,0,0,0,0,0,0,0,0,0
3,-22218,-31528,-22013,-26782,-26748,-19849,-18562,-17150,-24413,-15230,-19760,-20151,-9058,-11172,0,0,0,0,0,0,0,0,0,0
3,-35322,-15916,-7588,-14833,-27702,-23447,-17627,-27677,-9667,33159,1408,-16304,-15055,-11241,0,0,0,0,0,0,0,0,0,0
3,-28361,-23788,-17398,-27040,-19851,-15266,-17741,-23955,-16753,-4021,-21450,-8089,-5731,-5301,0,0,0,0,0,0,0,0,0,0
3,-26105,-24015,-16681,-19578,-21263,-16352,-20648,-15948,-22353,10032,-7611,-13817,-6025,-10532,0,0,0,0,0,0,0,0,0,0
3,-30836,-34887,-14890,-27725,-23373,-22162,-21970,-20303,-31312,-16219,-20376,-14285,-10995,-12443,0,0,0,0,0,0,0,0,0,0
3,-10305,-17623,-25005,-20560,-17524,-19424,-21514,-2185,-7534,-14699,-9040,-3357,-9692,-12455,0,0,0,0,0,0,0,0,0,0
3,-22313,-25732,-23105,-12228,-15801,-25351,-17564,-8350,-15034,-12695,-5059,-8405,-17476,-5521,0,0,0,0,0,0,0,0,0,0
3,-12991,-19682,-25420,-20268,-10344,-19725,-19710,-609,-9680,-22300,-13320,-5636,-12723,-10904,0,0,0,0,0,0,0,0,0,0
3,-19400,-1842,-9909,-19545,-20130,-23274,-25391,-12932,-11570,-2421,-11039,-14468,-15129,-16600,0,0,0,0,0,0,0,0,0,0
3,-19497,-16449,-23424,-23694,-20086,-21308,-20182,-15600,-14609,-24591,-11159,-10842,-10821,-12219,0,0,0,0,0,0,0,0,0,0
3,-13286,-16775,-11672,-12852,-24853,-17182,-21300,-422,-1425,7135,-5075,-16730,-4141,-12158,0,0,0,0,0,0,0,0,0,0
3,-14486,-12024,-9547,-16934,-13137,-26931,-20712,4566,6238,-11921,-8528,-72,-18594,-11726,0,0,0,0,0,0,0,0,0,0
3,-17605,-23414,-23885,-17381,-21115,-20123,-16897,-10232,-14625,-12908,-5856,-11063,-9171,-6652,0,0,0,0,0,0,0,0,0,0
3,-18513,-19839,-16193,-14558,-20440,-18755,-19459,1824,-4864,-6085,-251,-13280,-6385,-10717,0,0,0,0,0,0,0,0,0,0
3,-34566,-26142,-19663,-22108,-20411,-17868,-20704,-23326,-15116,-9980,-13148,-13625,-10151,-8483,0,0,0,0,0,0,0,0,0,0
2,-16606,-33381,-30154,-14997,-19006,-16782,-19614,-21936,-16547,-12503,-6146,-9583,-6660,-9845,0,0,0,0,0,0,0,0,0,0
2,-24117,-18341,-10305,-17132,-20594,-19236,-18588,-29120,-13216,-14914,-1487,-13138,-10877,-7836,0,0,0,0,0,0,0,0,0,0
2,-27583,-5023,-3094,-16555,-13908,-20037,-18683,-11220,11268,9019,-10636,-4808,-8363,-7664,0,0,0,0,0,0,0,0,0,0
2,-20452,-16467,-8289,-19613,-24260,-23295,-20875,-7574,-1544,4570,-12286,-12847,-8124,-11482,0,0,0,0,0,0,0,0,0,0
2,-22449,-17576,-13487,-18355,-16193,-11666,-19123,-8330,-5411,8963,-9313,-5457,-1421,-12562,0,0,0,0,0,0,0,0,0,0
2,-14776,-359,-2301,-21121,-15013,-9337,-20972,-3318,-5794,2967,-5926,-3868,-9635,-16433,0,0,0,0,0,0,0,0,0,0
2,-13634,-14967,-24373,-16946,-19080,-26054,-18657,-6842,-15188,-18009,-7547,-8826,-17989,-9775,0,0,0,0,0,0,0,0,0,0
2,-19079,-29655,-22353,-16271,-16328,-22624,-15869,-13503,-24113,-12197,-861,-8175,-15368,-8213,0,0,0,0,0,0,0,0,0,0
2,-24696,-13634,-58730,-21555,-18273,-17110,-19543,-10046,-2093,-52021,-16781,-9490,-4494,-8649,0,0,0,0,0,0,0,0,0,0
2,-14788,-18415,-7963,-15668,-24310,-20431,-19867,-6356,-7018,14126,-10055,-13222,-12423,-8048,0,0,0,0,0,0,0,0,0,0
2,-25379,-5526,-1850,-11313,-19390,-13126,-14882,-30254,-3405,-2222,9483,-9850,-3817,-2004,0,0,0,0,0,0,0,0,0,0
2,-11893,-24714,-21310,-20624,-21946,-21752,-23766,-7413,-5967,-12083,-4663,-13693,-12373,-17040,0,0,0,0,0,0,0,0,0,0
2,-9892,-24459,-21523,-21441,-16506,-9315,-19510,12850,-11357,-11685,-10451,-5875,1159,-7930,0,0,0,0,0,0,0,0,0,0
2,-13047,-9119,-6612,-16524,-25811,-21379,-16433,9429,10956,3328,-8120,-16278,-9391,-6917,0,0,0,0,0,0,0,0,0,0
2,-30115,-19693,-13264,-17081,-26365,-19602,-19383,-29393,-11017,10798,-1249,-17321,-12711,-11356,0,0,0,0,0,0,0,0,0,0
2,-19391,-6830,-12016,-8010,-11702,-10311,-20340,-31991,8952,7225,-709,2316,-298,-12232,0,0,0,0,0,0,0,0,0,0
3,-9818,-17144,-12084,-23722,-9100,-17138,-19942,9407,-842,-12746,-21984,5196,-12524,-12127,0,0,0,0,0,0,0,0,0,0
3,-13296,-13413,-17066,-22011,-15159,-18446,-12053,8305,-9605,-3992,-12077,-1562,-9618,44,0,0,0,0,0,0,0,0,0,0
3,-11696,-31493,-11527,-17349,-23255,-14998,-17047,-20802,-27421,-823,-8015,-17075,-6042,-7622,0,0,0,0,0,0,0,0,0,0
3,-12125,-21939,-27609,-21926,-13880,-14482,-21144,-12923,-16839,-33035,-16111,-45,-4790,-12081,0,0,0,0,0,0,0,0,0,0
