label,feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23
2,7393,-2471,-5421,-4970,126,-489,6701,9302,-2213,-9700,-477,2920,1796,-1717,0,0,0,0,0,0,0,0,0,0
2,2706,20492,18199,13085,15165,492,-753,5905,-874,-901,17224,-7198,-4363,3009,0,0,0,0,0,0,0,0,0,0
2,2623,-8026,-3219,3290,-10103,-16461,8835,-3247,-2646,2160,3422,-8064,-16217,-11228,0,0,0,0,0,0,0,0,0,0
2,9495,-13172,7678,14,10792,291,1383,762,-5893,-5772,5693,4961,160,-10405,0,0,0,0,0,0,0,0,0,0
2,18220,656,13045,26182,14923,3644,961,-1797,-34554,1357,4378,5721,-21863,5843,0,0,0,0,0,0,0,0,0,0
2,4255,-13058,19797,3638,5472,4602,4852,-15147,-7790,-2345,-9550,2398,15290,10477,0,0,0,0,0,0,0,0,0,0
2,-8333,952,-22297,-12912,7025,-2891,8692,-147,-13487,-11892,8328,17630,-13283,-6290,0,0,0,0,0,0,0,0,0,0
2,-8774,-26909,-5794,9184,4,-3564,4452,-15838,-5565,-4333,-10125,-3459,273,4863,0,0,0,0,0,0,0,0,0,0
2,13362,1287,14312,5589,-26947,3264,-5008,-23616,-2072,-13130,-23602,14879,10501,9463,0,0,0,0,0,0,0,0,0,0
2,-14015,-3940,13101,220,12720,4563,12400,-10453,-11108,-17065,-7402,-20055,-13319,-7687,0,0,0,0,0,0,0,0,0,0
2,463,35082,15581,8977,16162,663,-17343,-5998,1161,-6674,15195,1181,-3252,-643,0,0,0,0,0,0,0,0,0,0
2,-1833,-4162,-3180,3999,17258,17250,1529,-6084,18592,12254,13726,-8664,3148,-3831,0,0,0,0,0,0,0,0,0,0
2,-21167,3102,18593,13297,2599,-740,8807,15364,8085,-17897,-13264,9258,-8013,5395,0,0,0,0,0,0,0,0,0,0
2,-7524,9661,-23365,-8498,13780,6666,2480,-11537,-15936,-3328,-6483,2231,-6527,2921,0,0,0,0,0,0,0,0,0,0
2,-4678,9970,-16020,3290,-7012,307,774,7652,4777,-3857,-5417,17206,-398,6803,0,0,0,0,0,0,0,0,0,0
2,5042,4697,-12174,-13675,5255,5748,-7394,-267,-7346,-18239,5818,-17022,9670,5022,0,0,0,0,0,0,0,0,0,0
3,6666,10343,-20342,916,1892,-5559,11145,-12894,19771,-10967,-15824,-173,21526,8640,0,0,0,0,0,0,0,0,0,0
3,9402,-5326,-27934,1727,-8734,-16080,-1312,-16014,2596,-9274,174,9513,1771,-11931,0,0,0,0,0,0,0,0,0,0
3,1082,9067,-1803,-11406,5856,-47,7729,-13255,-5599,-6070,3874,-1034,-12185,4600,0,0,0,0,0,0,0,0,0,0
3,3953,7434,-6080,7295,15006,9820,6890,2811,-5781,-4747,-24,17708,22327,19,0,0,0,0,0,0,0,0,0,0
3,5410,-4804,9965,-13555,807,1573,-9488,-15670,-8802,-13788,873,7410,19391,4353,0,0,0,0,0,0,0,0,0,0
3,-23054,-44396,-5192,499,12439,10532,-111,-23389,-803,5158,-23281,-11932,4800,-10095,0,0,0,0,0,0,0,0,0,0
3,-5203,-380,17318,9712,-13287,-9183,-10469,4687,13628,4574,347,1033,-4403,-22871,0,0,0,0,0,0,0,0,0,0
3,146,-12277,11348,-5392,-11944,-2457,3625,14428,18672,4998,-3035,-16154,18421,8669,0,0,0,0,0,0,0,0,0,0
3,7733,-13749,11666,4269,4393,11041,876,-8556,8270,-18644,2914,16456,-15186,5496,0,0,0,0,0,0,0,0,0,0
3,-15550,-1411,-1381,3796,9303,14831,3982,-5875,10082,-17997,16192,2191,-23845,-6638,0,0,0,0,0,0,0,0,0,0
3,9218,11080,8010,-1383,-4430,-2168,-16040,-3031,5121,-19660,6939,612,6456,-3999,0,0,0,0,0,0,0,0,0,0
3,2376,14086,2612,-11224,-846,7384,6743,5512,-6376,-6349,-1455,-5094,-8498,-15634,0,0,0,0,0,0,0,0,0,0
3,-32928,-22149,-30943,-6855,-17649,12638,4121,-14103,-7967,12220,-9267,-8034,-6251,23361,0,0,0,0,0,0,0,0,0,0
3,5089,-7654,10713,-14967,-5409,3204,4280,-3756,8995,-3568,-14541,8999,-3893,6385,0,0,0,0,0,0,0,0,0,0
3,4232,9847,5017,-807,-9730,12058,8756,-22594,-6271,-4874,-10691,19690,737,-4397,0,0,0,0,0,0,0,0,0,0
3,5952,-6799,-11825,27289,774,-6211,-1008,4031,22020,13018,1130,4241,-2016,-7706,0,0,0,0,0,0,0,0,0,0
2,8027,-3857,-2179,-17495,-11372,6627,-4649,-37550,-14788,1701,1145,4974,7129,-8991,0,0,0,0,0,0,0,0,0,0
2,-17304,-29427,-11556,-20465,4610,2650,7571,1920,9362,-2459,-2652,-20294,-8797,-11242,0,0,0,0,0,0,0,0,0,0
2,-5849,-3930,5118,-14790,-5612,-6428,-2172,-19960,-18872,-7572,11912,-6019,-7470,-7932,0,0,0,0,0,0,0,0,0,0
2,-23979,-9178,-10695,-5459,12603,2958,-16985,300,-2431,-4572,-1886,-8913,-1344,10314,0,0,0,0,0,0,0,0,0,0
2,-5602,8957,-2528,9008,-17777,6641,-3483,1810,4621,12405,-8721,5592,12836,10066,0,0,0,0,0,0,0,0,0,0
2,1779,4400,15930,2862,5153,-1946,9707,911,-14259,-4337,-5983,5015,-647,4585,0,0,0,0,0,0,0,0,0,0
2,-20593,-4981,9231,-4963,3939,-16084,-5247,-1250,-620,4133,-4021,11991,12193,5119,0,0,0,0,0,0,0,0,0,0
2,4950,10558,8622,3114,-5186,12666,-4882,2108,-1644,19782,-6575,-4065,690,-9960,0,0,0,0,0,0,0,0,0,0
2,797,-1603,18155,-6364,6651,6752,-5738,-10306,11901,-2372,-8032,-9381,-3646,4772,0,0,0,0,0,0,0,0,0,0
2,39383,11479,-2006,-2551,60,16003,-14653,1964,11034,10856,2714,9122,6604,7241,0,0,0,0,0,0,0,0,0,0
2,-18210,-15985,6549,14174,-1821,-7852,1201,-19546,-22363,10529,591,3475,-5771,493,0,0,0,0,0,0,0,0,0,0
2,7917,9512,-640,-4254,1654,-2153,2964,8150,544,-13572,-9428,-18946,6646,259,0,0,0,0,0,0,0,0,0,0
2,-5875,16219,9749,1165,-7690,-1311,4837,9891,-13115,-18854,-22093,7720,20369,-4099,0,0,0,0,0,0,0,0,0,0
2,-5089,-7587,-16184,-21866,-8479,-2049,-11362,-6959,3530,-21066,-7063,-1527,-2437,-1754,0,0,0,0,0,0,0,0,0,0
2,-35659,-20524,6729,-1235,-10728,9799,-9824,19003,10100,-8692,189,-6089,627,5040,0,0,0,0,0,0,0,0,0,0
2,-836,-8180,10033,13501,349,-1500,12821,-1694,-599,12183,-1813,-1873,728,-9908,0,0,0,0,0,0,0,0,0,0
3,9716,-6469,-12622,12250,-2985,-5827,-180,-25918,-18967,-28033,3316,17021,-4894,7609,0,0,0,0,0,0,0,0,0,0
