label,feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23
3,-28157,-7271,-6084,-12862,17609,-16330,-3136,-6493,508,-14815,4118,-786,11818,3420,0,0,0,0,0,0,0,0,0,0
3,-15196,-17209,-5038,4594,6845,-16909,20796,13477,15319,7600,-14110,3493,11247,-4791,0,0,0,0,0,0,0,0,0,0
3,6101,-7913,17134,6114,-7736,13629,2240,-8413,-6668,-7178,-10153,-18375,11991,30896,0,0,0,0,0,0,0,0,0,0
3,-6953,4462,-4341,-158,-2584,6291,4614,1697,28443,-3810,11306,-4998,-2070,2837,0,0,0,0,0,0,0,0,0,0
3,-4066,-447,-12386,-13221,-12050,2007,5731,-1031,17226,22695,-1882,7197,4649,3956,0,0,0,0,0,0,0,0,0,0
3,-2084,381,7533,1524,-4533,8292,-161,-1540,-10393,-9628,642,-7621,3261,-14415,0,0,0,0,0,0,0,0,0,0
3,6035,10448,-2859,-6931,8578,5963,-6333,-13843,-26319,-16318,-12730,-5039,-27203,1088,0,0,0,0,0,0,0,0,0,0
3,6758,4971,11477,17054,-5475,-5458,-9916,8209,6536,-1681,3171,1718,-679,5821,0,0,0,0,0,0,0,0,0,0
3,-7053,16475,-1762,2702,7632,-11030,-10407,-19940,-7775,25486,8548,6936,11255,6841,0,0,0,0,0,0,0,0,0,0
3,-38735,-16291,-14880,-2654,-4898,21760,1809,-17571,-6710,-6190,-19021,-13700,4479,-12821,0,0,0,0,0,0,0,0,0,0
3,6706,13389,29074,-1543,-3198,8581,-1356,6296,6739,-2344,4847,11204,15803,-930,0,0,0,0,0,0,0,0,0,0
3,-178,2115,8118,2980,-7989,5677,307,-23057,20071,36958,11193,-15464,-13599,-20049,0,0,0,0,0,0,0,0,0,0
3,25421,-6901,-21146,6706,-8197,-7292,-369,-3746,7789,1669,1518,-16508,-9995,-4778,0,0,0,0,0,0,0,0,0,0
3,-17887,-970,9456,7001,2099,896,438,-30084,-10978,-1111,5788,10771,490,-13631,0,0,0,0,0,0,0,0,0,0
3,-24912,916,25159,12601,-310,10133,-646,17220,-3405,-3971,-14424,-999,-8982,-6173,0,0,0,0,0,0,0,0,0,0
